season,seed,team_id
2003,W01,1328
2003,W02,1448
2003,W03,1393
2003,W04,1257
2003,W05,1280
2003,W06,1329
2003,W07,1386
2003,W08,1143
2003,W09,1301
2003,W10,1120
2003,W11,1335
2003,W12,1139
2003,W13,1122
2003,W14,1264
2003,W15,1190
2003,W16,1354
2003,X01,1400
2003,X02,1196
2003,X03,1462
2003,X04,1390
2003,X05,1163
2003,X06,1268
2003,X07,1277
2003,X08,1261
2003,X09,1345
2003,X10,1160
2003,X11,1423
2003,X12,1140
2003,X13,1360
2003,X14,1407
2003,X15,1358
2003,X16a,1411
2003,X16b,1421
2003,Y01,1246
2003,Y02,1338
2003,Y03,1266
2003,Y04,1173
2003,Y05,1458
2003,Y06,1281
2003,Y07,1231
2003,Y08,1332
2003,Y09,1428
2003,Y10,1104
2003,Y11,1356
2003,Y12,1451
2003,Y13,1409
2003,Y14,1221
2003,Y15,1447
2003,Y16,1237
2003,Z01,1112
2003,Z02,1242
2003,Z03,1181
2003,Z04,1228
2003,Z05,1323
2003,Z06,1166
2003,Z07,1272
2003,Z08,1153
2003,Z09,1211
2003,Z10,1113
2003,Z11,1141
2003,Z12,1454
2003,Z13,1443
2003,Z14,1161
2003,Z15,1429
2003,Z16,1436
2004,W01,1181
2004,W02,1280
2004,W03,1400
2004,W04,1153
2004,W05,1228
2004,W06,1314
2004,W07,1462
2004,W08,1371
2004,W09,1112
2004,W10,1257
2004,W11,1102
2004,W12,1293
2004,W13,1190
2004,W14,1343
2004,W15,1284
2004,W16,1106
2004,X01,1390
2004,X02,1163
2004,X03,1301
2004,X04,1268
2004,X05,1393
2004,X06,1435
2004,X07,1177
2004,X08,1104
2004,X09,1356
2004,X10,1173
2004,X11,1444
2004,X12,1140
2004,X13,1431
2004,X14,1418
2004,X15,1436
2004,X16,1427
2004,Y01,1386
2004,Y02,1329
2004,Y03,1338
2004,Y04,1448
2004,Y05,1196
2004,Y06,1458
2004,Y07,1272
2004,Y08,1403
2004,Y09,1150
2004,Y10,1376
2004,Y11,1350
2004,Y12,1264
2004,Y13,1433
2004,Y14,1416
2004,Y15,1186
2004,Y16,1251
2004,Z01,1246
2004,Z02,1211
2004,Z03,1210
2004,Z04,1242
2004,Z05,1344
2004,Z06,1130
2004,Z07,1277
2004,Z08,1449
2004,Z09,1412
2004,Z10,1305
2004,Z11,1428
2004,Z12,1334
2004,Z13,1227
2004,Z14,1320
2004,Z15,1434
2004,Z16a,1197
2004,Z16b,1250
2005,W01,1449
2005,W02,1448
2005,W03,1211
2005,W04,1257
2005,W05,1210
2005,W06,1403
2005,W07,1452
2005,W08,1334
2005,W09,1338
2005,W10,1166
2005,W11,1417
2005,W12,1203
2005,W13,1418
2005,W14,1457
2005,W15,1151
2005,W16,1285
2005,X01,1228
2005,X02,1329
2005,X03,1112
2005,X04,1130
2005,X05,1104
2005,X06,1261
2005,X07,1356
2005,X08,1400
2005,X09,1305
2005,X10,1388
2005,X11,1412
2005,X12,1454
2005,X13,1335
2005,X14,1429
2005,X15,1368
2005,X16,1192
2005,Y01,1181
2005,Y02,1246
2005,Y03,1328
2005,Y04,1393
2005,Y05,1277
2005,Y06,1428
2005,Y07,1153
2005,Y08,1390
2005,Y09,1280
2005,Y10,1234
2005,Y11,1431
2005,Y12,1330
2005,Y13,1436
2005,Y14,1310
2005,Y15,1184
2005,Y16,1175
2005,Z01,1314
2005,Z02,1163
2005,Z03,1242
2005,Z04,1196
2005,Z05,1437
2005,Z06,1458
2005,Z07,1150
2005,Z08,1278
2005,Z09,1235
2005,Z10,1301
2005,Z11,1320
2005,Z12,1307
2005,Z13,1325
2005,Z14,1137
2005,Z15,1416
2005,Z16a,1105
2005,Z16b,1324
2006,W01,1181
2006,W02,1400
2006,W03,1234
2006,W04,1261
2006,W05,1393
2006,W06,1452
2006,W07,1143
2006,W08,1203
2006,W09,1423
2006,W10,1301
2006,W11,1356
2006,W12,1401
2006,W13,1233
2006,W14,1322
2006,W15,1335
2006,W16,1380
2006,X01,1272
2006,X02,1417
2006,X03,1211
2006,X04,1242
2006,X05,1338
2006,X06,1231
2006,X07,1266
2006,X08,1116
2006,X09,1137
2006,X10,1104
2006,X11,1361
2006,X12,1245
2006,X13,1133
2006,X14,1462
2006,X15,1125
2006,X16,1331
2006,Y01,1437
2006,Y02,1326
2006,Y03,1196
2006,Y04,1130
2006,Y05,1305
2006,Y06,1328
2006,Y07,1207
2006,Y08,1112
2006,Y09,1458
2006,Y10,1320
2006,Y11,1454
2006,Y12,1285
2006,Y13,1334
2006,Y14,1375
2006,Y15,1172
2006,Y16a,1214
2006,Y16b,1284
2006,Z01,1163
2006,Z02,1397
2006,Z03,1314
2006,Z04,1228
2006,Z05,1449
2006,Z06,1277
2006,Z07,1455
2006,Z08,1246
2006,Z09,1412
2006,Z10,1371
2006,Z11,1206
2006,Z12,1429
2006,Z13,1102
2006,Z14,1293
2006,Z15,1457
2006,Z16,1107
2007,W01,1314
2007,W02,1207
2007,W03,1450
2007,W04,1400
2007,W05,1425
2007,W06,1435
2007,W07,1130
2007,W08,1266
2007,W09,1277
2007,W10,1403
2007,W11,1203
2007,W12,1116
2007,W13,1308
2007,W14,1331
2007,W15,1125
2007,W16,1184
2007,X01,1326
2007,X02,1272
2007,X03,1401
2007,X04,1438
2007,X05,1397
2007,X06,1257
2007,X07,1305
2007,X08,1140
2007,X09,1462
2007,X10,1166
2007,X11,1390
2007,X12,1253
2007,X13,1107
2007,X14,1335
2007,X15,1317
2007,X16,1148
2007,Y01,1196
2007,Y02,1458
2007,Y03,1332
2007,Y04,1268
2007,Y05,1139
2007,Y06,1323
2007,Y07,1424
2007,Y08,1112
2007,Y09,1345
2007,Y10,1210
2007,Y11,1457
2007,Y12,1330
2007,Y13,1172
2007,Y14,1275
2007,Y15,1394
2007,Y16,1238
2007,Z01,1242
2007,Z02,1417
2007,Z03,1338
2007,Z04,1356
2007,Z05,1439
2007,Z06,1181
2007,Z07,1231
2007,Z08,1246
2007,Z09,1437
2007,Z10,1211
2007,Z11,1433
2007,Z12,1228
2007,Z13,1221
2007,Z14,1460
2007,Z15,1451
2007,Z16a,1197
2007,Z16b,1310
2008,W01,1314
2008,W02,1397
2008,W03,1257
2008,W04,1450
2008,W05,1323
2008,W06,1328
2008,W07,1139
2008,W08,1231
2008,W09,1116
2008,W10,1375
2008,W11,1386
2008,W12,1206
2008,W13,1457
2008,W14,1129
2008,W15,1110
2008,W16a,1164
2008,W16b,1291
2008,X01,1242
2008,X02,1207
2008,X03,1458
2008,X04,1435
2008,X05,1155
2008,X06,1425
2008,X07,1211
2008,X08,1424
2008,X09,1245
2008,X10,1172
2008,X11,1243
2008,X12,1437
2008,X13,1373
2008,X14,1168
2008,X15,1420
2008,X16,1340
2008,Y01,1272
2008,Y02,1400
2008,Y03,1390
2008,Y04,1338
2008,Y05,1277
2008,Y06,1266
2008,Y07,1274
2008,Y08,1280
2008,Y09,1332
2008,Y10,1388
2008,Y11,1246
2008,Y12,1396
2008,Y13,1331
2008,Y14,1165
2008,Y15,1122
2008,Y16,1426
2008,Z01,1417
2008,Z02,1181
2008,Z03,1462
2008,Z04,1163
2008,Z05,1179
2008,Z06,1345
2008,Z07,1452
2008,Z08,1140
2008,Z09,1401
2008,Z10,1112
2008,Z11,1124
2008,Z12,1443
2008,Z13,1360
2008,Z14,1208
2008,Z15,1125
2008,Z16,1290
2009,W01,1338
2009,W02,1181
2009,W03,1437
2009,W04,1462
2009,W05,1199
2009,W06,1417
2009,W07,1400
2009,W08,1329
2009,W09,1397
2009,W10,1278
2009,W11,1433
2009,W12,1458
2009,W13,1340
2009,W14,1110
2009,W15,1127
2009,W16,1190
2009,X01,1314
2009,X02,1328
2009,X03,1393
2009,X04,1211
2009,X05,1228
2009,X06,1113
2009,X07,1155
2009,X08,1261
2009,X09,1139
2009,X10,1276
2009,X11,1396
2009,X12,1443
2009,X13,1103
2009,X14,1372
2009,X15,1288
2009,X16,1347
2009,Y01,1257
2009,Y02,1277
2009,Y03,1242
2009,Y04,1448
2009,Y05,1428
2009,Y06,1452
2009,Y07,1130
2009,Y08,1326
2009,Y09,1373
2009,Y10,1425
2009,Y11,1173
2009,Y12,1112
2009,Y13,1156
2009,Y14,1295
2009,Y15,1352
2009,Y16a,1106
2009,Y16b,1287
2009,Z01,1163
2009,Z02,1272
2009,Z03,1281
2009,Z04,1449
2009,Z05,1345
2009,Z06,1266
2009,Z07,1143
2009,Z08,1140
2009,Z09,1401
2009,Z10,1268
2009,Z11,1429
2009,Z12,1320
2009,Z13,1280
2009,Z14,1165
2009,Z15,1169
2009,Z16,1151
2010,W01,1246
2010,W02,1452
2010,W03,1307
2010,W04,1458
2010,W05,1396
2010,W06,1266
2010,W07,1155
2010,W08,1400
2010,W09,1448
2010,W10,1281
2010,W11,1449
2010,W12,1165
2010,W13,1459
2010,W14,1285
2010,W15,1288
2010,W16,1190
2010,X01,1181
2010,X02,1437
2010,X03,1124
2010,X04,1345
2010,X05,1401
2010,X06,1323
2010,X07,1350
2010,X08,1143
2010,X09,1257
2010,X10,1388
2010,X11,1330
2010,X12,1429
2010,X13,1373
2010,X14,1358
2010,X15,1352
2010,X16a,1115
2010,X16b,1457
2010,Y01,1242
2010,Y02,1326
2010,Y03,1207
2010,Y04,1268
2010,Y05,1277
2010,Y06,1397
2010,Y07,1329
2010,Y08,1424
2010,Y09,1320
2010,Y10,1210
2010,Y11,1361
2010,Y12,1308
2010,Y13,1222
2010,Y14,1325
2010,Y15,1364
2010,Y16,1250
2010,Z01,1393
2010,Z02,1243
2010,Z03,1338
2010,Z04,1435
2010,Z05,1139
2010,Z06,1462
2010,Z07,1140
2010,Z08,1211
2010,Z09,1199
2010,Z10,1196
2010,Z11,1278
2010,Z12,1431
2010,Z13,1293
2010,Z14,1324
2010,Z15,1317
2010,Z16,1436
2011,W01,1326
2011,W02,1314
2011,W03,1393
2011,W04,1246
2011,W05,1452
2011,W06,1462
2011,W07,1449
2011,W08,1206
2011,W09,1437
2011,W10,1208
2011,W11,1266
2011,W12a,1155
2011,W12b,1412
2011,W13,1343
2011,W14,1232
2011,W15,1254
2011,W16a,1106
2011,W16b,1427
2011,X01,1181
2011,X02,1361
2011,X03,1163
2011,X04,1400
2011,X05,1112
2011,X06,1153
2011,X07,1396
2011,X08,1276
2011,X09,1397
2011,X10,1336
2011,X11,1281
2011,X12,1272
2011,X13,1324
2011,X14,1137
2011,X15,1294
2011,X16,1214
2011,Y01,1338
2011,Y02,1196
2011,Y03,1140
2011,Y04,1458
2011,Y05,1243
2011,Y06,1385
2011,Y07,1417
2011,Y08,1139
2011,Y09,1330
2011,Y10,1277
2011,Y11,1211
2011,Y12,1429
2011,Y13,1125
2011,Y14,1459
2011,Y15,1364
2011,Y16a,1114
2011,Y16b,1421
2011,Z01,1242
2011,Z02,1323
2011,Z03,1345
2011,Z04,1257
2011,Z05,1435
2011,Z06,1207
2011,Z07,1401
2011,Z08,1424
2011,Z09,1228
2011,Z10,1199
2011,Z11a,1425
2011,Z11b,1433
2011,Z12,1350
2011,Z13,1287
2011,Z14,1389
2011,Z15,1103
2011,Z16,1131
2012,W01,1393
2012,W02,1326
2012,W03,1199
2012,W04,1458
2012,W05,1435
2012,W06,1153
2012,W07,1211
2012,W08,1243
2012,W09,1379
2012,W10,1452
2012,W11,1400
2012,W12,1217
2012,W13,1285
2012,W14,1382
2012,W15,1259
2012,W16,1421
2012,X01,1314
2012,X02,1242
2012,X03,1207
2012,X04,1276
2012,X05,1396
2012,X06,1361
2012,X07,1388
2012,X08,1166
2012,X09,1104
2012,X10,1345
2012,X11,1301
2012,X12a,1143
2012,X12b,1378
2012,X13,1325
2012,X14,1125
2012,X15,1178
2012,X16a,1249
2012,X16b,1436
2012,Y01,1246
2012,Y02,1181
2012,Y03,1124
2012,Y04,1231
2012,Y05,1455
2012,Y06,1424
2012,Y07,1323
2012,Y08,1235
2012,Y09,1163
2012,Y10,1462
2012,Y11,1160
2012,Y12,1433
2012,Y13,1308
2012,Y14,1355
2012,Y15,1250
2012,Y16a,1290
2012,Y16b,1443
2012,Z01,1277
2012,Z02,1281
2012,Z03,1266
2012,Z04,1257
2012,Z05,1307
2012,Z06,1293
2012,Z07,1196
2012,Z08,1272
2012,Z09,1387
2012,Z10,1438
2012,Z11,1161
2012,Z12,1253
2012,Z13,1172
2012,Z14a,1140
2012,Z14b,1233
2012,Z15,1313
2012,Z16,1254
2013,W01,1231
2013,W02,1274
2013,W03,1266
2013,W04,1393
2013,W05,1424
2013,W06,1139
2013,W07,1228
2013,W08,1301
2013,W09,1396
2013,W10,1160
2013,W11,1137
2013,W12,1143
2013,W13,1285
2013,W14,1172
2013,W15,1334
2013,W16a,1241
2013,W16b,1254
2013,X01,1242
2013,X02,1207
2013,X03,1196
2013,X04,1276
2013,X05,1433
2013,X06,1417
2013,X07,1361
2013,X08,1314
2013,X09,1437
2013,X10,1328
2013,X11,1278
2013,X12,1103
2013,X13,1355
2013,X14,1322
2013,X15,1195
2013,X16,1443
2013,Y01,1257
2013,Y02,1181
2013,Y03,1277
2013,Y04,1387
2013,Y05,1329
2013,Y06,1272
2013,Y07,1166
2013,Y08,1161
2013,Y09,1281
2013,Y10,1153
2013,Y11a,1292
2013,Y11b,1388
2013,Y12,1332
2013,Y13,1308
2013,Y14,1434
2013,Y15,1107
2013,Y16a,1251
2013,Y16b,1299
2013,Z01,1211
2013,Z02,1326
2013,Z03,1307
2013,Z04,1243
2013,Z05,1458
2013,Z06,1112
2013,Z07,1323
2013,Z08,1338
2013,Z09,1455
2013,Z10,1235
2013,Z11,1125
2013,Z12,1279
2013,Z13a,1129
2013,Z13b,1247
2013,Z14,1217
2013,Z15,1233
2013,Z16,1380
2014,W01,1438
2014,W02,1437
2014,W03,1235
2014,W04,1277
2014,W05,1153
2014,W06,1314
2014,W07,1163
2014,W08,1272
2014,W09,1203
2014,W10,1386
2014,W11,1344
2014,W12,1217
2014,W13,1174
2014,W14,1300
2014,W15,1454
2014,W16,1157
2014,X01,1196
2014,X02,1242
2014,X03,1393
2014,X04,1417
2014,X05,1433
2014,X06,1326
2014,X07,1307
2014,X08,1160
2014,X09,1338
2014,X10,1390
2014,X11,1173
2014,X12,1372
2014,X13,1409
2014,X14,1444
2014,X15,1184
2014,X16a,1107
2014,X16b,1291
2014,Y01,1455
2014,Y02,1276
2014,Y03,1181
2014,Y04,1257
2014,Y05,1387
2014,Y06,1269
2014,Y07,1400
2014,Y08,1246
2014,Y09,1243
2014,Y10,1113
2014,Y11a,1234
2014,Y11b,1397
2014,Y12a,1301
2014,Y12b,1462
2014,Y13,1264
2014,Y14,1273
2014,Y15,1459
2014,Y16a,1142
2014,Y16b,1411
2014,Z01,1112
2014,Z02,1458
2014,Z03,1166
2014,Z04,1361
2014,Z05,1328
2014,Z06,1124
2014,Z07,1332
2014,Z08,1211
2014,Z09,1329
2014,Z10,1140
2014,Z11,1304
2014,Z12,1295
2014,Z13,1308
2014,Z14,1418
2014,Z15,1110
2014,Z16,1451
2015,W01,1437
2015,W02,1438
2015,W03,1328
2015,W04,1257
2015,W05,1320
2015,W06,1344
2015,W07,1277
2015,W08,1301
2015,W09,1261
2015,W10,1208
2015,W11a,1129
2015,W11b,1173
2015,W12,1461
2015,W13,1414
2015,W14,1107
2015,W15,1125
2015,W16,1248
2015,X01,1181
2015,X02,1211
2015,X03,1235
2015,X04,1207
2015,X05,1428
2015,X06,1374
2015,X07,1234
2015,X08,1361
2015,X09,1385
2015,X10,1172
2015,X11,1417
2015,X12,1372
2015,X13,1186
2015,X14,1412
2015,X15,1295
2015,X16a,1316
2015,X16b,1352
2015,Y01,1246
2015,Y02,1242
2015,Y03,1323
2015,Y04,1268
2015,Y05,1452
2015,Y06,1139
2015,Y07,1455
2015,Y08,1153
2015,Y09,1345
2015,Y10,1231
2015,Y11,1400
2015,Y12,1138
2015,Y13,1434
2015,Y14,1318
2015,Y15,1308
2015,Y16a,1214
2015,Y16b,1264
2015,Z01,1458
2015,Z02,1112
2015,Z03,1124
2015,Z04,1314
2015,Z05,1116
2015,Z06,1462
2015,Z07,1433
2015,Z08,1332
2015,Z09,1329
2015,Z10,1326
2015,Z11a,1140
2015,Z11b,1279
2015,Z12,1459
2015,Z13,1217
2015,Z14,1209
2015,Z15,1411
2015,Z16,1157
2016,W01,1314
2016,W02,1462
2016,W03,1452
2016,W04,1246
2016,W05,1231
2016,W06,1323
2016,W07,1458
2016,W08,1425
2016,W09,1344
2016,W10,1338
2016,W11a,1276
2016,W11b,1409
2016,W12,1151
2016,W13,1392
2016,W14,1372
2016,W15,1451
2016,W16a,1192
2016,W16b,1195
2016,X01,1438
2016,X02,1277
2016,X03,1428
2016,X04,1235
2016,X05,1345
2016,X06,1371
2016,X07,1173
2016,X08,1403
2016,X09,1139
2016,X10,1393
2016,X11,1211
2016,X12,1114
2016,X13,1233
2016,X14,1201
2016,X15,1292
2016,X16,1214
2016,Y01,1242
2016,Y02,1437
2016,Y03,1274
2016,Y04,1143
2016,Y05,1268
2016,Y06,1112
2016,Y07,1234
2016,Y08,1160
2016,Y09,1163
2016,Y10,1396
2016,Y11a,1435
2016,Y11b,1455
2016,Y12,1355
2016,Y13,1218
2016,Y14,1138
2016,Y15,1421
2016,Y16,1122
2016,Z01,1332
2016,Z02,1328
2016,Z03,1401
2016,Z04,1181
2016,Z05,1124
2016,Z06,1400
2016,Z07,1333
2016,Z08,1386
2016,Z09,1153
2016,Z10,1433
2016,Z11,1320
2016,Z12,1463
2016,Z13,1423
2016,Z14,1453
2016,Z15,1167
2016,Z16a,1221
2016,Z16b,1380
2017,W01,1437
2017,W02,1181
2017,W03,1124
2017,W04,1196
2017,W05,1438
2017,W06,1374
2017,W07,1376
2017,W08,1458
2017,W09,1439
2017,W10,1266
2017,W11a,1344
2017,W11b,1425
2017,W12,1423
2017,W13,1190
2017,W14,1308
2017,W15,1407
2017,W16a,1291
2017,W16b,1309
2017,X01,1211
2017,X02,1112
2017,X03,1199
2017,X04,1452
2017,X05,1323
2017,X06,1268
2017,X07,1388
2017,X08,1321
2017,X09,1435
2017,X10,1433
2017,X11,1462
2017,X12,1343
2017,X13,1137
2017,X14,1195
2017,X15,1315
2017,X16,1355
2017,Y01,1242
2017,Y02,1257
2017,Y03,1332
2017,Y04,1345
2017,Y05,1235
2017,Y06,1166
2017,Y07,1276
2017,Y08,1274
2017,Y09,1277
2017,Y10,1329
2017,Y11,1348
2017,Y12,1305
2017,Y13,1436
2017,Y14,1233
2017,Y15,1240
2017,Y16a,1300
2017,Y16b,1413
2017,Z01,1314
2017,Z02,1246
2017,Z03,1417
2017,Z04,1139
2017,Z05,1278
2017,Z06,1153
2017,Z07,1173
2017,Z08,1116
2017,Z09,1371
2017,Z10,1455
2017,Z11a,1243
2017,Z11b,1448
2017,Z12,1292
2017,Z13,1457
2017,Z14,1245
2017,Z15,1297
2017,Z16,1411
